"Año","Zona","Ámbito geográfico","Gasto total (€/hab.)","Gastos de personal (€/hab.)","Gastos corrientes en bienes y servicios (€/hab.)","Gastos financieros (€/hab.)","Transferencias corrientes (€/hab.)","Fondo de contingencia y otros imprevistos (€/hab.)","Inversión real (€/hab.)","Transferencias de capital (€/hab.)","Activos financieros (€/hab.)","Pasivos financieros (€/hab.)"
"2017","Zona Intermedia","Xaló","805","349","291","1","119","","34","11","",""
"2017","Zona Costa","Xàbia/Jávea","1321","467","618","16","56","","22","20","","123"
"2017","Zona Intermedia","Llíber","1173","421","368","7","269","","28","","","80"
"2017","Zona Interior","Murla","1006","236","507","3","146","","69","45","",""
"2017","Zona Intermedia","Ondara","898","342","207","4","219","","21","22","1","82"
"2017","Zona Interior","Orba","838","313","336","8","104","7","25","","","43"
"2017","Zona Interior","Parcent","620","180","317","1","106","","5","12","",""
"2017","Zona Intermedia","Pedreguer","1101","348","343","6","97","4","209","31","","64"
"2017","Zona Intermedia","Pego","982","473","302","15","88","","","","","104"
"2017","Zona Interior","el Ràfol d'Almúnia","929","270","413","1","210","","11","","","23"
"2017","Zona Interior","Sagra","816","279","305","1","165","","64","2","",""
"2017","Zona Interior","Sanet y Negrals","766","281","305","2","152","","","26","",""
"2017","Zona Intermedia","Senija","727","261","309","","96","2","55","4","",""
"2017","Zona Costa","Teulada","1678","591","496","2","404","","116","43","","26"
"2017","Zona Interior","Tormos","1156","329","580","12","202","12","21","","",""
"2017","Zona Interior","la Vall d'Alcalà","995","462","363","","99","5","6","56","","4"
"2017","Zona Interior","la Vall d'Ebo","1006","308","488","4","151","2","9","44","",""
